Timestamp,P(UP),P(DOWN),Momentum,Prediction,Actual Outcome,Correct?,Market Ticker,Volume
2026-02-22 13:32:00,0.6708,0.3292,0.0992,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:33:00,0.7530,0.2470,0.0822,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:34:00,0.8190,0.1810,0.066,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:35:00,0.8450,0.1550,0.026,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:36:00,0.9183,0.0817,0.0733,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:37:00,0.9550,0.0450,0.0367,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:38:00,0.9517,0.0483,-0.0033,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:39:00,0.9683,0.0317,0.0167,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:40:00,0.9850,0.0150,0.0167,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:41:00,0.9850,0.0150,0.0,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:42:00,0.9917,0.0083,0.0067,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:43:00,0.9950,0.0050,0.0033,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:44:00,0.9950,0.0050,-0.0,UP,UP,Correct,KXBTC15M-26FEB221645-45,138276
2026-02-22 13:45:00,0.4800,0.5200,0,DOWN,UP,Incorrect,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:46:00,0.4850,0.5150,0.005,DOWN,UP,Incorrect,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:47:00,0.4830,0.5170,-0.002,DOWN,UP,Incorrect,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:48:00,0.4375,0.5625,-0.0455,DOWN,UP,Incorrect,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:49:00,0.5033,0.4967,0.0658,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:50:00,0.5300,0.4700,0.0267,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:51:00,0.5025,0.4975,-0.0275,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:52:00,0.6025,0.3975,0.1,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:53:00,0.6833,0.3167,0.0808,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:54:00,0.6600,0.3400,-0.0233,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:55:00,0.7775,0.2225,0.1175,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:56:00,0.8725,0.1275,0.095,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:57:00,0.8840,0.1160,0.0115,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:58:00,0.8575,0.1425,-0.0265,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 13:59:00,0.9383,0.0617,0.0808,UP,UP,Correct,KXBTC15M-26FEB221700-00,165284
2026-02-22 14:00:00,0.4950,0.5050,0,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:01:00,0.5017,0.4983,0.0067,UP,DOWN,Incorrect,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:02:00,0.4917,0.5083,-0.01,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:03:00,0.3950,0.6050,-0.0967,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
