Timestamp,Action,Side,Size,Entry_Price,BRTI,Fair_P_UP,Kalshi_P_UP,Edge,Market_Ticker,PnL,Cumulative_PnL,Bankroll,Outcome,Window_Start,Exit_Reason
2026-02-22 01:00:48,OPEN,UP,94,0.4900,67954.02,0.5405,0.4800,0.0605,KXBTC15M-26FEB220415-15,,-235.31,764.69,,67941.28,
2026-02-22 01:15:21,CLOSE,UP,94,0.4900,67954.02,0.5405,0.4800,0.0605,KXBTC15M-26FEB220415-15,47.94,-187.37,812.63,UP,67941.28,MARKET_RESOLVED
2026-02-22 01:15:22,OPEN,DOWN,5,0.0100,68020.98,0.9126,0.9950,-0.0824,KXBTC15M-26FEB220415-15,,-187.37,812.63,,67941.28,
2026-02-22 01:15:51,CLOSE,DOWN,5,0.0100,68020.98,0.9126,0.9950,-0.0824,KXBTC15M-26FEB220415-15,-0.05,-187.42,812.58,UP,67941.28,MARKET_RESOLVED
2026-02-22 01:15:52,OPEN,DOWN,100,0.3800,68021.00,0.5000,0.6400,-0.1400,KXBTC15M-26FEB220430-30,,-187.42,812.58,,68021.04,
2026-02-22 01:30:44,CLOSE,DOWN,100,0.3800,68021.00,0.5000,0.6400,-0.1400,KXBTC15M-26FEB220430-30,-38.00,-225.42,774.58,UP,68021.04,MARKET_RESOLVED
2026-02-22 01:31:00,OPEN,DOWN,100,0.4500,68008.49,0.5000,0.5600,-0.0600,KXBTC15M-26FEB220445-45,,-225.42,774.58,,68010.63,
2026-02-22 01:45:34,OPEN,DOWN,100,0.4000,68043.21,0.5000,0.6100,-0.1100,KXBTC15M-26FEB220500-00,,-225.42,774.58,,68043.21,
2026-02-22 01:45:34,CLOSE,DOWN,100,0.4500,68008.49,0.5000,0.5600,-0.0600,KXBTC15M-26FEB220445-45,-45.00,-270.42,729.58,UP,68010.63,MARKET_RESOLVED
2026-02-22 02:00:25,CLOSE,DOWN,100,0.4000,68043.21,0.5000,0.6100,-0.1100,KXBTC15M-26FEB220500-00,-40.00,-310.42,689.58,UP,68043.21,MARKET_RESOLVED
2026-02-22 02:00:26,OPEN,DOWN,5,0.0100,68042.28,0.5000,0.9950,-0.4950,KXBTC15M-26FEB220500-00,,-310.42,689.58,,68043.21,
2026-02-22 02:00:56,CLOSE,DOWN,5,0.0100,68042.28,0.5000,0.9950,-0.4950,KXBTC15M-26FEB220500-00,-0.05,-310.47,689.53,UP,68043.21,MARKET_RESOLVED
2026-02-22 02:00:57,OPEN,DOWN,78,0.5300,68016.79,0.4202,0.4800,-0.0598,KXBTC15M-26FEB220515-15,,-310.47,689.53,,68041.76,
2026-02-22 02:15:45,CLOSE,DOWN,78,0.5300,68016.79,0.4202,0.4800,-0.0598,KXBTC15M-26FEB220515-15,36.66,-273.81,726.19,DOWN,68041.76,MARKET_RESOLVED
2026-02-22 02:17:06,OPEN,UP,100,0.3200,68016.74,0.4592,0.3100,0.1492,KXBTC15M-26FEB220530-30,,-273.81,726.19,,68028.24,
2026-02-22 02:30:35,CLOSE,UP,100,0.3200,68016.74,0.4592,0.3100,0.1492,KXBTC15M-26FEB220530-30,68.00,-205.81,794.19,UP,68028.24,MARKET_RESOLVED
2026-02-22 02:33:08,OPEN,UP,100,0.5300,68098.66,0.5982,0.5250,0.0732,KXBTC15M-26FEB220545-45,,-205.81,794.19,,68072.91,
2026-02-22 02:45:24,CLOSE,UP,100,0.5300,68098.66,0.5982,0.5250,0.0732,KXBTC15M-26FEB220545-45,47.00,-158.81,841.19,UP,68072.91,MARKET_RESOLVED
2026-02-22 02:46:27,OPEN,UP,94,0.4700,68087.83,0.5125,0.4600,0.0525,KXBTC15M-26FEB220600-00,,-158.81,841.19,,68084.10,
2026-02-22 03:00:13,CLOSE,UP,94,0.4700,68087.83,0.5125,0.4600,0.0525,KXBTC15M-26FEB220600-00,49.82,-108.99,891.01,UP,68084.10,MARKET_RESOLVED
2026-02-22 03:00:14,OPEN,DOWN,5,0.0100,68117.04,0.7247,0.9950,-0.2703,KXBTC15M-26FEB220600-00,,-108.99,891.01,,68084.10,
2026-02-22 03:00:44,CLOSE,DOWN,5,0.0100,68117.04,0.7247,0.9950,-0.2703,KXBTC15M-26FEB220600-00,-0.05,-109.04,890.96,UP,68084.10,MARKET_RESOLVED
2026-02-22 03:01:12,OPEN,UP,100,0.4900,68127.70,0.5368,0.4800,0.0568,KXBTC15M-26FEB220615-15,,-109.04,890.96,,68116.50,
