Market,Timestamp,Time Remaining,Direction,Probability,Momentum,Actual Outcome,Win,Profit
btc-updown-15m-1771031700,2026-02-13 17:26:00,4,DOWN,0.845,0.06099999999999994,Down,True,0.18343195266272194
btc-updown-15m-1771031700,2026-02-13 17:27:00,3,DOWN,0.9283,0.1483,Down,True,0.07723796186577614
btc-updown-15m-1771032600,2026-02-13 17:44:00,1,DOWN,0.822,0.14449999999999996,Down,True,0.2165450121654502
btc-updown-15m-1771033500,2026-02-13 17:55:00,5,DOWN,0.7775,0.3958,Down,True,0.2861736334405145
btc-updown-15m-1771033500,2026-02-13 17:56:00,4,DOWN,0.8767,0.3397,Down,True,0.14064104026462876
btc-updown-15m-1771035300,2026-02-13 18:23:00,7,DOWN,0.833,0.12049999999999994,Down,True,0.20048019207683088
btc-updown-15m-1771035300,2026-02-13 18:25:00,5,DOWN,0.888,0.05500000000000005,Down,True,0.12612612612612617
btc-updown-15m-1771035300,2026-02-13 18:26:00,4,DOWN,0.951,0.0827,Down,True,0.051524710830704645
btc-updown-15m-1771035300,2026-02-13 18:27:00,3,DOWN,0.96,0.07199999999999995,Down,True,0.04166666666666674
btc-updown-15m-1771037100,2026-02-13 18:53:00,7,DOWN,0.801,0.0635,Down,True,0.24843945068664164
btc-updown-15m-1771037100,2026-02-13 18:54:00,6,DOWN,0.831,0.07999999999999996,Down,True,0.2033694344163659
btc-updown-15m-1771037100,2026-02-13 18:58:00,2,DOWN,0.93,0.1975,Down,True,0.07526881720430101
btc-updown-15m-1771037100,2026-02-13 18:59:00,1,DOWN,0.8938,0.06980000000000008,Down,True,0.11881852763481748
btc-updown-15m-1771038000,2026-02-13 19:12:00,3,UP,0.816,0.2477999999999999,Up,True,0.22549019607843146
btc-updown-15m-1771038000,2026-02-13 19:13:00,2,UP,0.825,0.13869999999999993,Up,True,0.21212121212121215
btc-updown-15m-1771038900,2026-02-13 19:23:00,7,DOWN,0.7529,0.13790000000000002,Up,False,-1.0
btc-updown-15m-1771038900,2026-02-13 19:24:00,6,DOWN,0.7537,0.10250000000000004,Up,False,-1.0
btc-updown-15m-1771038900,2026-02-13 19:27:00,3,DOWN,0.835,0.13169999999999993,Up,False,-1.0
btc-updown-15m-1771040700,2026-02-13 19:56:00,4,UP,0.785,0.2775000000000001,Up,True,0.2738853503184713
btc-updown-15m-1771040700,2026-02-13 19:57:00,3,UP,0.913,0.29600000000000004,Up,True,0.095290251916758
btc-updown-15m-1771040700,2026-02-13 19:58:00,2,UP,0.889,0.10399999999999998,Up,True,0.12485939257592804
btc-updown-15m-1771041600,2026-02-13 20:09:00,6,DOWN,0.8225,0.12450000000000006,Down,True,0.21580547112462
btc-updown-15m-1771041600,2026-02-13 20:10:00,5,DOWN,0.9175,0.20550000000000002,Down,True,0.0899182561307903
btc-updown-15m-1771041600,2026-02-13 20:11:00,4,DOWN,0.96,0.13749999999999996,Down,True,0.04166666666666674
btc-updown-15m-1771041600,2026-02-13 20:12:00,3,DOWN,0.973,0.055499999999999994,Down,True,0.027749229188078095
btc-updown-15m-1771042500,2026-02-13 20:29:00,1,UP,0.791,0.07900000000000007,Up,True,0.2642225031605563
btc-updown-15m-1771043400,2026-02-13 20:41:00,4,DOWN,0.8938,0.2513000000000001,Down,True,0.11881852763481748
btc-updown-15m-1771043400,2026-02-13 20:42:00,3,DOWN,0.921,0.1685000000000001,Down,True,0.08577633007600438
btc-updown-15m-1771043400,2026-02-13 20:43:00,2,DOWN,0.957,0.06319999999999992,Down,True,0.04493207941483801
btc-updown-15m-1771044300,2026-02-13 20:54:00,6,DOWN,0.896,0.257,Down,True,0.1160714285714286
btc-updown-15m-1771044300,2026-02-13 20:55:00,5,DOWN,0.925,0.19210000000000005,Down,True,0.08108108108108092
btc-updown-15m-1771044300,2026-02-13 20:59:00,1,DOWN,0.97,0.05249999999999999,Down,True,0.030927835051546504
btc-updown-15m-1771045200,2026-02-13 21:12:00,3,UP,0.895,0.135,Up,True,0.11731843575418988
btc-updown-15m-1771045200,2026-02-13 21:13:00,2,UP,0.945,0.10499999999999998,Up,True,0.058201058201058364
btc-updown-15m-1771045200,2026-02-13 21:14:00,1,UP,0.9875,0.09250000000000003,Up,True,0.012658227848101111
btc-updown-15m-1771046100,2026-02-13 21:23:00,7,UP,0.8213,0.19879999999999998,Up,True,0.21758188238159004
btc-updown-15m-1771046100,2026-02-13 21:24:00,6,UP,0.8233,0.10830000000000006,Up,True,0.21462407384914362
btc-updown-15m-1771047000,2026-02-13 21:38:00,7,DOWN,0.91,0.16620000000000001,Down,True,0.09890109890109877
btc-updown-15m-1771047000,2026-02-13 21:39:00,6,DOWN,0.9225,0.05920000000000003,Down,True,0.08401084010840121
btc-updown-15m-1771047900,2026-02-13 21:54:00,6,DOWN,0.7737,0.39990000000000003,Down,True,0.29249062944293636
btc-updown-15m-1771047900,2026-02-13 21:55:00,5,DOWN,0.8533,0.33929999999999993,Down,True,0.17192077815539686
btc-updown-15m-1771047900,2026-02-13 21:56:00,4,DOWN,0.911,0.13729999999999998,Down,True,0.09769484083424795
btc-updown-15m-1771047900,2026-02-13 21:57:00,3,DOWN,0.932,0.0787000000000001,Down,True,0.07296137339055786
btc-updown-15m-1771047900,2026-02-13 21:59:00,1,DOWN,0.9825,0.05049999999999999,Down,True,0.01781170483460559
btc-updown-15m-1771048800,2026-02-13 22:09:00,6,DOWN,0.7767,0.32419999999999993,Up,False,-1.0
btc-updown-15m-1771049700,2026-02-13 22:23:00,7,UP,0.8675,0.054500000000000104,Up,True,0.1527377521613833
btc-updown-15m-1771049700,2026-02-13 22:26:00,4,UP,0.967,0.08799999999999997,Up,True,0.03412616339193386
btc-updown-15m-1771049700,2026-02-13 22:27:00,3,UP,0.972,0.13369999999999993,Up,True,0.028806584362139898
