y,Spot-only,PM-only,Combined
0,0.33868485412925164,0.5401872574686926,0.31446631818351867
0,0.171901598514428,0.6440742747873225,0.18721555339680604
1,0.9420487880553631,0.6295227567240098,0.889447992863884
0,0.5926536770746342,0.6115029268716248,0.5420544956335599
1,0.7986759117661011,0.6786466354693901,0.8248826186638839
1,0.392869081665638,0.8191574703775624,0.5266864818117336
1,0.892875241476261,0.7385102075254284,0.8793884303220448
0,0.20482314036567537,0.5342145347330554,0.28431320111530956
0,0.04361020542708344,0.27727767716063895,0.03809413533758186
1,0.4951334463304969,0.2636050868810944,0.4415985022537698
1,0.49256872005079416,0.3621656435999484,0.32464206907376514
1,0.5142152836780329,0.5905672366171558,0.5154387696111493
1,0.4638494646852889,0.2245893479143653,0.3796993540087933
0,0.3305583758902103,0.38644973455178677,0.35102685393621336
0,0.5152042075673775,0.15645921214934636,0.2861980991559699
0,0.8152824951200479,0.8530162986793841,0.9067449042903657
1,0.6772920896555512,0.5244449440609075,0.6727871817685478
1,0.8703299070682697,0.8199780979818041,0.9070530249379898
1,0.9028585955333152,0.34380127247117515,0.754142496954957
1,0.409224211806475,0.3686828476698442,0.4132262865246325
0,0.058328297339847374,0.2889539867958991,0.03950010430012312
0,0.07067600771908054,0.3490727916177088,0.07472982792341937
0,0.7622254658282217,0.580449327264018,0.6065954633321682
1,0.7177212424669883,0.8063908080370737,0.8176641588453918
0,0.2144573348565871,0.1609344646421687,0.10112098412006015
0,0.7821890772788175,0.3743329547446345,0.7290779786126853
0,0.8196007219046388,0.4343795543203717,0.8934276931548021
1,0.4430795732448755,0.6055030357525022,0.40784088397320994
0,0.5431635944236163,0.18740137323720285,0.2546758724440479
0,0.4203205859790234,0.510079947486709,0.5148856082713797
0,0.006255625970932864,0.21986626207783416,0.007348565987538813
1,0.7436620204707537,0.5991180605713667,0.622521110252487
0,0.3426028620163533,0.3452063054337216,0.23640486205801386
0,0.13640210480025688,0.5068526836803887,0.18201518876827621
0,0.4579174231802418,0.3629159390466557,0.38907326942466597
0,0.020627910166547886,0.44236392194019375,0.018233786796834715
0,0.24978016582951998,0.316636295979475,0.24872076707725094
0,0.13461665230414133,0.6713149523413091,0.20149058007847961
1,0.7487952174463208,0.6372647683700664,0.81523250547971
1,0.9246111211639442,0.6997070538528314,0.9280079529634179
1,0.8856582766552276,0.5299483290825496,0.7748939099795603
0,0.21131089386068025,0.141817539013858,0.18323028504004654
1,0.8776560123053166,0.8421794933412581,0.9271074906074924
0,0.3692499675657755,0.42890566918728884,0.43542348621202126
0,0.1106482279281355,0.4410734249979279,0.09129611526040254
0,0.40252313775462506,0.36373686622845336,0.3366133133919609
0,0.6902652553695355,0.3218868325423165,0.413504466745512
0,0.639702981159184,0.6250666932000546,0.6535825682225732
1,0.8466981552130911,0.7867439667724426,0.8830675718821145
0,0.2729190974306422,0.9836865124711491,0.9960606703676905
0,0.312515417781784,0.9900438983464112,0.9965627445992772
1,0.04127418956458313,0.9834282734016334,0.968522919150535
1,0.8523783794208123,0.9946066756423533,0.9995625898431699
0,0.005681110890240589,0.9580307656402011,0.7549183936417748
0,0.8211370977300638,0.9863499641187823,0.9991506354727102
1,0.8383747886665155,0.9899966514043442,0.9994744049467774
1,0.8651024251824398,0.9957057089149541,0.9997357237655387
1,0.8540080487077514,0.9947259553419804,0.9997487365051789
0,0.33847212114001796,0.9914817983503954,0.9943882198191012
1,0.9658791678993788,0.993330155808963,0.9998733384500389
1,0.4445250204091082,0.9857021220776496,0.998254135560041
0,0.1154935578806273,0.9897066294039032,0.992730581185973
0,0.12667156996112652,0.9799669280684702,0.9847284986182849
1,0.4904824297164283,0.9936451957269717,0.9980680662239786
1,0.09917710751583679,0.9829422974270388,0.9839972966653743
0,0.7037047919571382,0.9939496723480207,0.9989215903615283
1,0.8041392507632791,0.9909783909554297,0.9994271456103471
0,0.009111215377159008,0.9608465767017021,0.89718710198359
1,0.9868367917798784,0.97991495256583,0.9999682014725313
0,0.6654655903822321,0.9113525546464221,0.9990275390745297
1,0.9317959623508099,0.9986429147638033,0.9997274355488385
0,0.004715138398657288,0.9908810629531326,0.8834472135538294
0,0.6411236328283406,0.9458231101946213,0.998377465413038
1,0.02538507519214887,0.9977081085346504,0.9747027197679473
1,0.9020732975908231,0.993279421080011,0.9997840740574733
1,0.5153061012536839,0.9944130143444445,0.9989681833987776
1,0.08062752622173558,0.9746464666173941,0.9858217377221807
0,0.6306449173175817,0.9931572366413225,0.9990731252708126
0,0.7052567157401173,0.9881190854323212,0.9989208164128042
0,0.9922408025109696,0.9973010015928926,0.9999852586488354
1,0.9602849544774547,0.9947032164555438,0.9998671547172694
0,0.9414138854194322,0.9757395348893857,0.9998921051057147
1,0.9350008316277795,0.9941106538523511,0.9998959651340544
0,0.05879777309878849,0.9794705091621243,0.9701886410654049
1,0.898200591896316,0.9972145685283801,0.9999048759432745
0,0.03305672625606312,0.9933311367917981,0.9705038341855103
0,0.022715246598946866,0.9901277584627663,0.9434213327675277
0,0.32842020968615676,0.9950166283855666,0.9977043739622959
0,0.35632218462260823,0.9876752499008012,0.9967148789734411
1,0.8624438654791773,0.9962087494563755,0.999779453818064
1,0.8189965717499837,0.9962064814180003,0.9996029903092483
1,0.6178381596935225,0.9972054215953148,0.9990861740313505
1,0.8842957158053116,0.9834039004613274,0.9995220900036512
0,0.8746760225990822,0.9936388670641009,0.9996511629346132
0,0.13844387235584568,0.9914419526095639,0.9925093043453447
0,0.31704151724140633,0.9148629511102995,0.9790834127294444
1,0.8739534321383728,0.9975069236496946,0.9997594234060386
1,0.9533189709427672,0.9987429512192484,0.9999616275068768
0,0.1036596309635258,0.9762310146096757,0.9799791036591047
0,0.4368297112226308,0.9733836463940028,0.9962357410540773
1,0.6636963020619003,0.9957538403046887,0.9995347732313674
0,0.45853354565464827,0.9658093709019648,0.9937997166317486
0,0.2137025972860502,0.9735104224098844,0.9924241066366142
0,0.3287333589334182,0.9961268082749266,0.9974398156926562
1,0.5294835110732014,0.9831907629951998,0.9965590540987899
1,0.9719418013096269,0.9988265260379608,0.9999800170261799
1,0.8951341686236138,0.9951235694397845,0.9998478385165497
1,0.3939040472816658,0.9910271080389073,0.9963611391429309
0,0.26498143617789605,0.9739156621756558,0.9950289750307182
1,0.7565944761511488,0.9712850690472061,0.9991517498358597
1,0.996188162203019,0.9986852291662395,0.9999889712918327
1,0.9990450768190221,0.9986048101219787,0.9999931351691383
0,0.46073863287257816,0.979029789807337,0.9982518823955222
1,0.9419664651889174,0.9987104707292217,0.9998806682385241
0,0.7802105585244238,0.9938097498782896,0.9994997044714794
1,0.12469392773594078,0.9952253678053194,0.9928891852592895
1,0.21146886220795363,0.9906444115798929,0.9957354490953445
