ticker,asset,contract_open,hour_of_open,opening_pup,momentum_1min,momentum_3min,mean_pup_5min,pup_vol_5min,conviction_spread,volume_log,actual_outcome,target,volume,n_rows,is_clean,prev_open_pup
KXBTC15M-26FEB232230-30,BTC,2026-02-23 19:15:00,19,0.58,-0.012499999999999956,0.09920000000000007,0.63618,0.059433270143918554,0.15999999999999992,12.165755731768488,UP,1.0,192096.0,15,True,0.365
KXBTC15M-26FEB232245-45,BTC,2026-02-23 19:30:00,19,0.545,-0.0033000000000000806,0.013299999999999979,0.5251,0.05955330385461416,0.09000000000000008,12.544938443867096,DOWN,0.0,280670.0,15,True,0.58
KXBTC15M-26FEB232300-00,BTC,2026-02-23 19:45:00,19,0.515,-0.007500000000000062,-0.10200000000000004,0.43094,0.10239186686451224,0.030000000000000027,12.2967082802895,DOWN,0.0,218973.0,15,True,0.545
KXBTC15M-26FEB232315-15,BTC,2026-02-23 20:00:00,20,0.545,0.019999999999999907,-0.035800000000000054,0.5193,0.04395470395759707,0.09000000000000008,12.100578787649335,DOWN,0.0,179975.0,15,True,0.515
KXBTC15M-26FEB232330-30,BTC,2026-02-23 20:15:00,20,0.515,-0.0675,-0.196,0.3713,0.09490658565136563,0.030000000000000027,12.526847317544087,UP,1.0,275638.0,15,True,0.545
KXBTC15M-26FEB232345-45,BTC,2026-02-23 20:30:00,20,0.445,-0.033299999999999996,-0.195,0.34668,0.07287478027411129,0.10999999999999999,12.0281772786891,UP,1.0,167405.0,15,True,0.515
KXBTC15M-26FEB240000-00,BTC,2026-02-23 20:45:00,20,0.57,0.0,0.08500000000000008,0.6166600000000001,0.038913010677664124,0.1399999999999999,12.30112824747776,UP,1.0,219943.0,15,True,0.445
KXBTC15M-26FEB240015-15,BTC,2026-02-23 21:00:00,21,0.45,0.0,-0.04250000000000004,0.42318,0.027036893312657073,0.09999999999999998,12.119997194061947,UP,1.0,183504.0,15,True,0.57
KXBTC15M-26FEB240030-30,BTC,2026-02-23 21:15:00,21,0.495,-0.08500000000000002,-0.22249999999999998,0.36719999999999997,0.08116563312141413,0.010000000000000009,12.07815404311551,DOWN,0.0,175984.0,15,True,0.45
KXBTC15M-26FEB240045-45,BTC,2026-02-23 21:30:00,21,0.52,-0.018000000000000016,0.07250000000000001,0.5387,0.111402692965655,0.040000000000000036,12.106788078300834,UP,1.0,181096.0,15,True,0.495
